"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006270","GO:0006270","DNA replication initiation","15/2846","37/18860",0.405405405405405,2.68655865985451,4.32897181131688,0.000158123304890742,0.00661262876425031,0.0059931968995504,"CCNE2/CDC34/CDC45/CDC6/CDT1/GMNN/KAT7/LRWD1/MCM2/MCM6/ORC6/POLA1/POLA2/PRIM1/WRNIP1",15
"GO:0070979","GO:0070979","protein K11-linked ubiquitination","16/2846","41/18860",0.390243902439024,2.58608573436402,4.28595080947805,0.000164075235771169,0.00681421427457918,0.00617589907421787,"AKT1/ANAPC10/ANAPC11/ANAPC13/ANAPC1/ANAPC2/ANAPC7/FZR1/PRKN/RNF4/UBE2D3/UBE2D4/UBE2E2/UBE2S/UBE2T/YWHAE",16
"GO:0000209","GO:0000209","protein polyubiquitination","69/2846","300/18860",0.23,1.52417427969079,3.8581065239776,0.000172041033218361,0.0070961034386368,0.00643138253235186,"AKT1/ANAPC10/ANAPC11/ANAPC13/ANAPC1/ANAPC2/ANAPC7/ATM/BLMH/CBFB/CDC34/CDKN2A/CEP63/CHFR/DAW1/DDX3X/DTL/DUSP22/FBXO7/FOXO4/FZR1/H2AX/ITCH/KBTBD2/MARCHF1/NAGK/NPEPPS/PARP10/PELI3/PPIA/PRKN/RBX1/RIPK2/RNF111/RNF144A/RNF167/RNF170/RNF216/RNF41/RNF4/RNF5/RUSC1/SHARPIN/SKP1/SPSB4/STUB1/TCF25/TNKS2/TRIM32/TRIM8/TTC3/UBE2D3/UBE2D4/UBE2E2/UBE2G1/UBE2G2/UBE2K/UBE2Q2/UBE2R2/UBE2S/UBE2T/UBE2V1/UBE3A/UBE3D/UBE4A/USP38/YWHAE/YWHAG/ZNRF1",69
"GO:0031570","GO:0031570","DNA integrity checkpoint signaling","35/2846","126/18860",0.277777777777778,1.84079019286328,3.99194471463676,0.000176197886356342,0.0072057644680473,0.00653077116656911,"ABRAXAS1/ATM/BABAM2/BRD4/BRSK1/CDC14B/CDC45/CDC5L/CDC6/CDK1/CDT1/CEP63/CLOCK/CRY1/DNA2/DTL/ERCC6/FBXO31/FOXO4/FZR1/GNB1L/H2AX/INTS7/MRNIP/NAE1/PPP1R10/RAD9A/SETMAR/TAOK1/TAOK2/TELO2/TRIAP1/TRIM39/UIMC1/WAC",35
"GO:1902750","GO:1902750","negative regulation of cell cycle G2/M phase transition","24/2846","75/18860",0.32,2.1205903021785,4.09919669312413,0.000178289423071911,0.0072057644680473,0.00653077116656911,"ABRAXAS1/ATM/BABAM2/BRSK1/CDC14B/CDC6/CDK1/CHFR/DTL/FOXO4/FZR1/INTS3/MRNIP/NABP2/NAE1/PABIR1/PKMYT1/RAD21/RBBP8/TAOK1/TAOK2/TRIM39/UIMC1/ZFYVE19",24
"GO:2000036","GO:2000036","regulation of stem cell population maintenance","24/2846","75/18860",0.32,2.1205903021785,4.09919669312413,0.000178289423071911,0.0072057644680473,0.00653077116656911,"ACTB/ARID4A/BCL7A/BCL7B/BMP7/CNOT1/DPF2/HMGA2/ING1/KDM3A/LBH/RBBP7/SAP130/SAP30/SINHCAF/SIRT6/SMARCA4/SMARCB1/SMARCC1/SS18/SUDS3/TEAD4/WDR43/ZNF322",24
"GO:0045787","GO:0045787","positive regulation of cell cycle","78/2846","349/18860",0.223495702005731,1.48107130703727,3.82414273465611,0.000180656406600769,0.00725275253699888,0.0065733576717543,"AKT1/ANAPC11/ANAPC7/ANKRD31/AURKA/BRD4/CCNB1/CCND3/CCNE2/CDC14A/CDC14B/CDC25B/CDC25C/CDC42/CDC6/CDC73/CDC7/CDK10/CDK1/CEP120/CHMP3/CPSF3/DDX11/DDX3X/DMRT1/DTL/DUSP3/DYNC1H1/EIF4EBP1/EXOC7/FBXO5/FNTB/FOXA1/GPSM2/HCFC1/HNRNPU/HSF1/KNL1/LEF1/MAD1L1/MAD2L1/MEIOSIN/MEPCE/NCAPD3/NCAPH/NEUROG1/NPM1/NSMCE2/NUMA1/NUP62/PLK4/PLRG1/PLSCR1/POC1A/PPP1R10/PRDM9/PRKCA/PRKCE/RAD18/RAD21/RAD51AP1/RCC2/RHOA/RXFP3/SKA1/SKA3/SMARCD3/SMC4/SPAST/SRPK2/STAT5B/SVIL/TBX3/TFDP1/TMOD3/TRIM32/UBE2E2/VPS4B",78
"GO:0006405","GO:0006405","RNA export from nucleus","29/2846","98/18860",0.295918367346939,1.96100506260129,4.02092538046908,0.000189078692560399,0.00754060852052133,0.00683424901307541,"ALKBH5/ALYREF/DDX25/DDX39A/DDX39B/DHX9/FMR1/FYTTD1/GLE1/HNRNPA1/IWS1/KHDRBS1/NSUN2/NUP107/NUP155/NUP214/NUP62/NXF1/PCID2/RAE1/RANBP2/RAN/RBM33/SMG6/SMG7/THOC3/THOC6/UPF1/UPF2",29
"GO:0051984","GO:0051984","positive regulation of chromosome segregation","13/2846","30/18860",0.433333333333333,2.87163270086671,4.32496859148305,0.00019480265128724,0.00771777346086685,0.00699481819199682,"CCNB1/CDC6/CDK1/HNRNPU/MAD1L1/NCAPD3/NCAPH/NUMA1/RAD18/RCC2/SKA1/SKA3/SMC4",13
"GO:1903146","GO:1903146","regulation of autophagy of mitochondrion","19/2846","54/18860",0.351851851851852,2.33166757762682,4.13115372703222,0.000208192329325431,0.00819434122351469,0.00742674391160895,"ATP13A2/BNIP3/CDC37/CSNK2A2/EIF2AK1/FBXO7/OMA1/PINK1/PRKN/RBX1/RNF41/SLC25A4/SREBF1/SREBF2/STUB1/TIGAR/TOMM7/USP36/VPS13C",19
"GO:0006457","GO:0006457","protein folding","55/2846","228/18860",0.241228070175439,1.59858095696021,3.8334292121796,0.000213328922851898,0.00834199203515668,0.00756056367045175,"AHSA2P/APLF/BAG1/BAG4/CANX/CCDC47/CCT3/CCT5/CDC37/CHCHD4/CHORDC1/CLPX/DNAJA3/DNAJB11/DNAJB13/DNAJB1/DNAJB6/DNAJC25/DNAJC4/DNAJC5/ELP6/ENTPD5/ERO1A/ERP29/GAK/GRPEL1/GRPEL2/HSP90AA1/HSPA14/HSPA4L/HSPD1/HSPE1/MOGS/MPDU1/NKTR/NUDCD2/PDCD5/PDCL3/PDIA3/PDRG1/PFDN1/POFUT2/PPIA/PTGES3/RANBP2/RIC8A/SDHAF4/SIL1/SNRNP70/TBCA/TBCB/TELO2/TXNDC5/UNC45A/ZMYND10",55
"GO:1901875","GO:1901875","positive regulation of post-translational protein modification","36/2846","133/18860",0.270676691729323,1.79373239845925,3.87251125735828,0.000251052788402592,0.00975380575329297,0.00884012704833576,"ARRDC3/BIRC8/CDC14B/CDKN2A/CHFR/CRY1/DCUN1D2/DDX3X/DNAJA3/EGR1/FZR1/HDAC4/NPM1/NSMCE3/PHF23/PIAS1/PIAS4/PINK1/PRKN/PTTG1IP/RASSF1/RASSF5/RBX1/RIPK2/RNF111/SAE1/SENP2/SPRTN/SPSB4/STUB1/TOLLIP/UBA2/UBB/UBE2S/UBE2V1/UBE3A",36
"GO:0045739","GO:0045739","positive regulation of DNA repair","38/2846","143/18860",0.265734265734266,1.7609797089769,3.85079005330714,0.000258198608687685,0.00996712834305923,0.00903346684241327,"ABRAXAS1/ACTB/ACTR8/ATM/BABAM2/BCL7A/BCL7B/DDX11/DHX9/DPF2/EPC1/EPC2/ERCC6/FUS/H2AX/INO80C/INO80E/MBTD1/MEAF6/MRNIP/PARP1/PARP3/PCNA/PIAS4/RAD51AP1/SETMAR/SIRT6/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SMCHD1/SPIRE2/TIGAR/TRIM28/UIMC1/USP1/ZCWPW1",38
